Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Pressure,SkinFriction:0,SkinFriction:1,SkinFriction:2,Cp,r,theta,xPrime,yPrime,x/c,isUpper,isLower
-0.940545,0.323412,-0.102761,-0.0322347,0.0317625,0.0398367,-2003.18,-79.5091,-181.807,116.763,-0.17347629104818066,0.05094918128036995,-0.8976931670868633,-0.0322347,-0.04573673190405803,0.0014072456073193074,1.0,0.0
-0.99821,0.0209167,0.0550339,-0.0323051,0.0312261,0.0402562,-5477.96,-4.08041,-142.026,91.0238,-0.47439380550439386,0.050947335157493764,-0.9110589155361029,-0.0323051,-0.04641602391804064,0.006191317295810905,1.0,0.0
-0.842429,0.500476,-0.198833,-0.0319817,0.0320861,0.0395774,4005.1,-142.566,-113.979,87.3988,0.3468434655283441,0.05094986166782006,-0.8895542626061935,-0.0319817,-0.04532266662580524,-2.220446049250313e-16,1.0,1.0
-0.9803,-0.141617,0.13749,-0.0321907,0.0305817,0.0407453,-5814.44,19.8675,-84.8682,60.5338,-0.5035331251920364,0.05094526324379922,-0.9269383644056488,-0.0321907,-0.04722311898542247,0.013297886346746446,1.0,0.0
-0.95886,-0.221925,0.17693,-0.0320073,0.0300215,0.041158,-5554.16,23.8136,-65.0995,48.6857,-0.4809927598559106,0.050943806554379106,-0.9405965401248098,-0.0320073,-0.04791756818583659,0.020022849522710606,1.0,0.0
-0.941511,-0.271356,0.199735,-0.0317976,0.0295082,0.0415264,-5509.06,24.2778,-53.915,41.7802,-0.47708707952450113,0.05094286764798386,-0.9529989964042802,-0.0317976,-0.04854850174248469,0.026442104874966788,1.0,0.0
-0.924279,-0.313618,0.21752,-0.0314673,0.0288081,0.042014,-5423.75,24.2525,-46.2279,36.7412,-0.4696991950661298,0.0509419554160419,-0.9697468566668341,-0.0314673,-0.04940080113716864,0.03545133682097079,1.0,0.0
0.164894,0.88309,-0.437303,-0.0308737,0.03223,0.0394568,5365.48,94.8621,-10.0763,18.1103,0.464652986797588,0.0509471487547635,-0.8858694730478465,-0.0308737,-0.045132523820672586,0.0064773019352952765,1.0,0.0
-0.198183,0.882618,-0.424768,-0.0315485,0.032247,0.0394457,6713.05,-29.8311,-23.8411,34.2203,0.5813531562919904,0.050949310667466344,-0.8854732370165941,-0.0315485,-0.04511425104048551,0.0014884115944139298,1.0,0.0
0.54045,0.763043,-0.352902,-0.0281188,0.0311805,0.0402814,1231.46,55.002,-30.2084,18.9859,0.10664499115116592,0.050939324359575086,-0.9120694572341768,-0.0281188,-0.046460201920513325,0.036602489839880015,0.0,1.0
0.496829,0.782851,-0.372891,-0.0288797,0.0315569,0.0399892,1774.54,64.7585,-31.2891,20.6318,0.15367596397559805,0.05094088784316583,-0.9027152365135094,-0.0288797,-0.0459851156175516,0.027437960529920313,0.0,1.0
0.44365,0.805296,-0.391507,-0.0294513,0.0318051,0.0397941,2409.21,78.6698,-32.1971,22.6817,0.2086386720894714,0.05094246539793692,-0.8965179970759701,-0.0294513,-0.04567083704467032,0.020885258997692335,0.0,1.0
0.35359,0.83796,-0.413749,-0.0301,0.0320412,0.0396068,3594.28,92.7515,-27.6013,23.4379,0.3112662683276864,0.05094445115692189,-0.8906023223020597,-0.0301,-0.045371246508758484,0.013893181093781792,0.0,1.0
0.431123,-0.818558,-0.378691,0.0316603,-0.0321975,0.0394876,543.788,-2.53894,-13.1227,20.2326,0.0470922859436037,0.05095046182332403,-2.254846746627194,0.0316603,-0.11488548308147524,0.9987857754245594,1.0,0.0
0.431333,-0.818409,-0.378786,0.0320179,-0.0320616,0.0395991,632.844,-2.13698,-6.58397,25.4018,0.054804575690699214,0.05095129944731537,-2.2513966577828026,0.0320179,-0.11471158528537659,1.0,1.0,1.0
-0.366087,-0.831368,-0.417248,0.0310723,-0.0321016,0.0395622,483.761,9.8108,-13.4038,15.675,0.0418939206829935,0.05094782028114647,-2.2524626012742894,0.0310723,-0.11475805979972618,0.9935703423936695,1.0,0.0
-0.529351,-0.765596,-0.364642,0.0289169,-0.0310306,0.0403977,348.353,10.9256,-14.4424,14.1498,0.030167526840077716,0.05093988910127308,-2.225798695734146,0.0289169,-0.11338193872245567,0.9673736983867947,1.0,0.0
-0.529638,-0.761551,-0.372633,0.0295895,-0.0313699,0.040137,405.955,11.41,-15.2895,14.6949,0.035155886007480194,0.050941627329817406,-2.2341983883030267,0.0295895,-0.11381370167781146,0.9755666703438125,1.0,0.0
-0.529109,-0.770202,-0.355153,0.0280778,-0.0306043,0.0407198,258.039,10.4952,-13.6574,13.6815,0.022346293725866617,0.050938446094575755,-2.215309637819647,0.0280778,-0.11284443056887022,0.9571614310516314,1.0,0.0
