Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Pressure,SkinFriction:0,SkinFriction:1,SkinFriction:2,Cp,r,theta,xPrime,yPrime,x/c,isUpper,isLower
-0.958224,0.240673,0.154454,-0.0248808,0.0491968,0.0893494,-23286.4,-170.403,-586.999,274.741,-2.0166127376792673,0.10199823729163165,-1.0674838168073744,-0.0248808,-0.10888146765169522,0.0018617904762101567,1.0,0.0
-0.969793,0.0866155,0.191159,-0.02486,0.0488849,0.089522,-24244.0,-62.1484,-290.658,152.688,-2.099541329372344,0.10199961731305662,-1.070978653824779,-0.02486,-0.10923941284058,0.004757662634359838,1.0,0.0
-0.900546,0.422626,0.101667,-0.0247825,0.0494449,0.0892121,6843.95,-355.229,-310.282,305.745,0.5926891553026667,0.10199802411037187,-1.0647037894955516,-0.0247825,-0.10859768279137157,1.1102230246251565e-16,1.0,1.0
0.549249,0.780886,-0.276898,-0.024609,0.0493712,0.0892552,17454.3,-147.666,-149.033,216.742,1.5115502485259735,0.10200002998274069,-1.0655405997674001,-0.024609,-0.10868517312410231,0.0013447207467178757,0.0,1.0
-0.976873,-0.0082381,0.213658,-0.0248469,0.0486908,0.089627,-24828.7,4.51146,-107.421,77.2716,-2.1501766129593762,0.10199898594417496,-1.0731421928957368,-0.0248469,-0.10945941544927335,0.006538736628893482,1.0,0.0
-0.960941,-0.142877,0.23698,-0.0244878,0.047106,0.0904585,-13136.6,15.9839,-12.867,55.379,-1.1376354820752654,0.1019888006511009,-1.0906891455978154,-0.0244878,-0.11123807784269515,0.021895736082581885,1.0,0.0
-0.955108,-0.174196,0.239565,-0.0242319,0.0462376,0.0909006,-11874.5,22.1551,-41.8898,57.8234,-1.0283370531113636,0.10198448281047466,-1.1002438622351396,-0.0242319,-0.11220780125544984,0.03049569749981873,1.0,0.0
-0.950048,-0.199449,0.239956,-0.023891,0.045179,0.091427,-10750.3,25.677,-52.303,58.2156,-0.9309808263137893,0.1019805783960848,-1.111836601429867,-0.023891,-0.11338573969575505,0.041055863616956345,1.0,0.0
-0.968453,-0.095303,0.230236,-0.024706,0.0479557,0.0900169,-16644.0,4.23555,58.5299,35.4206,-1.4413779032368128,0.10199407555392616,-1.0813002153507822,-0.024706,-0.1102862158609643,0.01357892381305903,1.0,0.0
0.619095,0.733724,-0.279737,-0.0245078,0.0493262,0.0892788,23642.6,-27.0042,-55.1428,164.808,2.0474598182568293,0.10199891242498618,-1.0660386484276214,-0.0245078,-0.10873478274261959,0.0021178830969657003,0.0,1.0
0.805168,0.529524,-0.266669,-0.0241042,0.0488829,0.0895162,14621.2,228.156,-284.377,107.588,1.266202511343793,0.1019935683013885,-1.0709686100530493,-0.0241042,-0.1092319100780888,0.007556829266163079,0.0,1.0
0.844876,0.470415,-0.254341,-0.0236162,0.0482313,0.0898619,10374.5,133.91,-198.868,74.3192,0.8984363769004035,0.10198734907477494,-1.0782006656379217,-0.0236162,-0.10996282765906942,0.015155001215882424,0.0,1.0
0.862255,0.442925,-0.2452,-0.023141,0.0475321,0.0902281,8053.65,95.8292,-154.199,57.9054,0.6974497206442657,0.10198240318809908,-1.085939844972955,-0.023141,-0.1107467551080537,0.023121982164372112,0.0,1.0
0.871717,0.428171,-0.237842,-0.0226995,0.0468452,0.0905828,6888.47,76.4148,-128.477,48.9802,0.5965446073726081,0.1019789998915463,-1.0935203826251962,-0.0226995,-0.11151611498113854,0.030846865141822333,0.0,1.0
0.878352,0.418323,-0.230863,-0.0222108,0.0460548,0.0909846,5959.25,66.5646,-115.634,44.0885,0.5160737364734426,0.10197667400047915,-1.1022150666339383,-0.0222108,-0.11240022652854553,0.039653399524301025,0.0,1.0
-0.825396,-0.49349,-0.274064,0.0241747,-0.0489588,0.089476,548.277,44.6974,-73.2458,-1.58284,0.047481035367277706,0.10199469924187238,-2.0714660639924487,0.0241747,-0.21127855818665497,0.9932932375487479,1.0,0.0
-0.804657,-0.523946,-0.279292,0.0245419,-0.0494024,0.0892377,36.6646,69.6177,-48.4836,10.7358,0.0031751708886695778,0.10199982464225123,-2.0764027615804843,0.0245419,-0.21179271756789558,0.9987285803871333,1.0,0.0
-0.1155,-0.966006,-0.231285,0.0245608,-0.0494046,0.0892367,-4.05155,66.8196,-47.5271,10.1893,-0.0003508660564683435,0.10200001533357729,-2.0764263799700973,0.0245608,-0.2117955225959943,0.9988221317388969,1.0,0.0
-0.843172,-0.473465,-0.254342,0.0226411,-0.0468217,0.0905953,564.049,28.8721,-52.6668,2.12289,0.048846897677410545,0.10197931149493018,-2.0478112780271056,0.0226411,-0.20883438420475728,0.9682567002647757,1.0,0.0
-0.843204,-0.470205,-0.260288,0.02315,-0.0475324,0.0902286,651.742,30.2647,-55.2416,1.56259,0.05644115101005569,0.10198298538344523,-2.0556531261390294,0.02315,-0.20964164271647012,0.9765347523287978,1.0,0.0
-0.843142,-0.476977,-0.247735,0.0220666,-0.0460172,0.0910038,406.801,28.0977,-51.0569,2.46133,0.03522914998886317,0.10197683222320646,-2.0389635888446014,0.0220666,-0.20792704780883284,0.9589429035803535,1.0,0.0
-0.843703,-0.466187,-0.26594,0.0236755,-0.0482632,0.0898457,696.944,33.5131,-61.1208,0.610355,0.060355664587447566,0.10198816736626852,-2.0637427009022566,0.0236755,-0.2104773359805344,0.9850993769089075,1.0,0.0
0.924764,0.277618,0.259522,0.0247968,-0.0489153,0.0895055,325.388,24.6775,-87.6365,-26.8574,0.028178747487287915,0.10199971129537574,-2.07095310904418,0.0247968,-0.2112366192287672,0.9953157588573502,0.0,1.0
0.920056,0.291879,0.261346,0.0247201,-0.0487353,0.0896025,613.298,36.1781,-91.9444,-27.3689,0.05311188327921959,0.10199871309158759,-2.0689484848385185,0.0247201,-0.2110300829063189,0.9934001546311065,0.0,1.0
0.907261,0.331894,0.258222,0.0235017,-0.0463648,0.0908346,966.983,28.3954,-63.7242,-18.0511,0.08374116372300186,0.10198342628192093,-2.042753908780636,0.0235017,-0.20832704266823582,0.9675182022214348,0.0,1.0
0.907173,0.334761,0.25479,0.0230034,-0.0453851,0.0913241,863.658,28.1548,-63.0583,-17.5783,0.0747931721433369,0.10197989283589193,-2.0320149093744226,0.0230034,-0.20722466269893827,0.9569574787744287,0.0,1.0
0.907346,0.329372,0.261158,0.023922,-0.0471874,0.0904147,966.108,29.9295,-67.3478,-19.2312,0.08366538832854546,0.10198759088658776,-2.0518097698335924,0.023922,-0.20925913538289223,0.9764437040081516,0.0,1.0
0.906754,0.328668,0.264111,0.0243415,-0.0480057,0.0899891,836.641,32.2953,-72.5349,-20.7498,0.07245348776387589,0.10199306521180741,-2.0608532561297275,0.0243415,-0.21019274054440493,0.985378084159946,0.0,1.0
