Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Pressure,SkinFriction:0,SkinFriction:1,SkinFriction:2,Cp,r,theta,xPrime,yPrime,x/c,isUpper,isLower
-0.870513,0.452764,0.192407,-0.020572,0.0521076,0.106977,12995.8,-172.703,-522.789,353.107,1.1254421386015965,0.1189927750191582,-1.1175286478972273,-0.020572,-0.13297783497669882,0.0,1.0,1.0
-0.937859,0.26537,0.223379,-0.020662,0.0518843,0.107085,-20572.2,-211.607,-754.712,319.665,-1.7815617940980752,0.11899234349944537,-1.1196131968472016,-0.020662,-0.13322539810575437,0.0017259935664476478,1.0,0.0
-0.968372,0.0180035,0.248792,-0.0206334,0.051371,0.107331,-24738.8,9.98448,-229.861,108.041,-2.142391232431799,0.11899127363802776,-1.1243967468865064,-0.0206334,-0.13379340098648052,0.006410993562544043,1.0,0.0
-0.962498,-0.0993798,0.252384,-0.0203111,0.0496268,0.108142,-12270.9,26.6401,-75.639,71.2709,-1.06266547181138,0.11898534129143809,-1.1405625236253853,-0.0203111,-0.13571022113779038,0.022917521270579444,1.0,0.0
-0.95968,-0.12634,0.251052,-0.0200804,0.0486587,0.108579,-11433.5,29.8259,-92.9267,67.4579,-0.9901462543053413,0.1189834792174527,-1.1494894341699153,-0.0200804,-0.1367702522012376,0.03220765763428979,1.0,0.0
-0.957242,-0.147611,0.248738,-0.0197844,0.0475151,0.109083,-10455.9,32.6881,-100.139,66.4637,-0.9054856535961182,0.11898229119079023,-1.159992961075396,-0.0197844,-0.13801862027393977,0.04322334861722288,1.0,0.0
-0.965927,-0.0576177,0.252269,-0.0205093,0.0505767,0.107704,-15463.9,20.2304,-19.0401,69.4739,-1.3391807112391103,0.11898804225169014,-1.1317714728388577,-0.0205093,-0.13466727182940758,0.01386584159422799,1.0,0.0
0.887721,0.385291,-0.251745,-0.0200198,0.0513388,0.107342,14623.2,176.063,-330.57,106.518,1.2663757122454076,0.11898729910977894,-1.1246807567306627,-0.0200198,-0.1338227256041239,0.00854037775174632,0.0,1.0
0.815462,0.522967,-0.247645,-0.0203443,0.051879,0.107086,26520.0,154.382,-210.91,172.169,2.296643955409774,0.11899093258311745,-1.1196569453016174,-0.0203443,-0.133229024094604,0.002734980053636371,0.0,1.0
0.917789,0.319961,-0.234895,-0.0185058,0.0482653,0.108753,6457.72,64.1954,-145.912,52.218,0.5592414631873607,0.11898215913778838,-1.153104749895121,-0.0185058,-0.13719889285456097,0.04053196550694904,0.0,1.0
