"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","Pressure","SkinFriction:0","SkinFriction:1","SkinFriction:2"
-7.61812e-01,5.70144e-01,3.07180e-01,-1.53782e-02,5.14340e-02,1.25889e-01,1.89378e+04,-2.00463e+02,-8.29657e+02,4.41718e+02
-8.85716e-01,3.50608e-01,3.04158e-01,-1.54969e-02,5.12351e-02,1.25970e-01,-1.14243e+04,-3.83741e+02,-9.88493e+02,3.30815e+02
-9.59772e-01,5.59597e-02,2.75145e-01,-1.54955e-02,5.06531e-02,1.26207e-01,-2.20077e+04,-1.28860e+01,-4.52237e+02,9.94695e+01
-9.64756e-01,-6.32790e-02,2.55423e-01,-1.52339e-02,4.86784e-02,1.26987e-01,-1.09486e+04,3.10443e+01,-1.80877e+02,7.26606e+01
-9.64377e-01,-8.82810e-02,2.49359e-01,-1.50415e-02,4.75929e-02,1.27393e-01,-1.04149e+04,3.13614e+01,-1.69241e+02,6.16578e+01
-9.63940e-01,-1.07046e-01,2.43626e-01,-1.48064e-02,4.63836e-02,1.27834e-01,-9.64319e+03,3.32666e+01,-1.64809e+02,5.91829e+01
-9.64627e-01,-4.75008e-02,2.58524e-01,-1.52985e-02,4.91073e-02,1.26824e-01,-1.20527e+04,3.01948e+01,-1.82786e+02,7.92443e+01
-9.64487e-01,-2.27629e-02,2.63147e-01,-1.54004e-02,4.97619e-02,1.26565e-01,-1.37832e+04,2.88228e+01,-1.84793e+02,8.95099e+01
9.26486e-01,3.17507e-01,-2.01979e-01,-1.48807e-02,5.05221e-02,1.26264e-01,1.23146e+04,1.51584e+02,-3.81764e+02,8.28128e+01
8.80381e-01,4.43201e-01,-1.68515e-01,-1.51716e-02,5.11463e-02,1.26008e-01,2.39940e+04,2.54703e+02,-4.35076e+02,2.08074e+02
9.41634e-01,2.62135e-01,-2.11124e-01,-1.42136e-02,4.87752e-02,1.26944e-01,7.19342e+03,7.32546e+01,-2.13744e+02,6.09438e+01
9.37101e-01,2.79101e-01,-2.09585e-01,-1.45402e-02,4.96671e-02,1.26603e-01,8.74240e+03,9.49581e+01,-2.64620e+02,7.01089e+01
9.31832e-01,2.98206e-01,-2.05797e-01,-1.47099e-02,5.01010e-02,1.26435e-01,1.05215e+04,1.23125e+02,-3.22972e+02,7.63481e+01
9.44018e-01,2.53958e-01,-2.10454e-01,-1.39268e-02,4.79659e-02,1.27249e-01,6.16455e+03,6.31269e+01,-1.88835e+02,5.52398e+01
9.45792e-01,2.48808e-01,-2.08619e-01,-1.36269e-02,4.70993e-02,1.27571e-01,5.37995e+03,5.76824e+01,-1.75196e+02,5.26275e+01
-9.31464e-01,-3.02754e-01,-2.01657e-01,1.48953e-02,-5.05884e-02,1.26233e-01,-4.75904e+02,4.46596e+01,-1.17730e+02,-2.94639e+01
-9.29519e-01,-3.07656e-01,-2.03127e-01,1.51759e-02,-5.12522e-02,1.25961e-01,-1.13100e+03,1.01319e+02,-1.32411e+02,-9.71952e+00
-6.55835e-01,-7.52330e-01,-5.53699e-02,1.54010e-02,-5.14403e-02,1.25883e-01,-4.00087e+03,3.93904e+01,-1.44383e+02,-1.24141e+01
-9.33350e-01,-2.99639e-01,-1.97664e-01,1.44784e-02,-4.95731e-02,1.26643e-01,-3.73791e+02,3.78379e+01,-1.00747e+02,-2.61149e+01
-9.33302e-01,-2.99299e-01,-1.98396e-01,1.45340e-02,-4.97083e-02,1.26589e-01,-3.70009e+02,3.81238e+01,-1.01587e+02,-2.62595e+01
-9.33571e-01,-3.01658e-01,-1.93424e-01,1.41725e-02,-4.88011e-02,1.26937e-01,-3.97428e+02,3.62602e+01,-9.61320e+01,-2.52979e+01
-9.33698e-01,-3.04288e-01,-1.88564e-01,1.38346e-02,-4.79522e-02,1.27256e-01,-4.73659e+02,3.54343e+01,-9.35859e+01,-2.46945e+01
