Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Pressure,SkinFriction:0,SkinFriction:1,SkinFriction:2,Cp,r,theta,xPrime,yPrime,x/c,isUpper,isLower
-0.930581,0.365073,-0.0256239,-0.0306279,0.0388431,0.0557639,-8017.5,-150.477,-318.045,182.352,-0.6943191143475815,0.0679588034092714,-0.9623804318106867,-0.0306279,-0.06540222257035218,0.0014830356349023743,1.0,0.0
-0.992879,0.0433729,0.110779,-0.0306869,0.0383145,0.0561303,-12489.8,-9.06154,-187.361,108.562,-1.0816223104930993,0.06796036704094527,-0.9718444379675016,-0.0306869,-0.06604690471097258,0.006193844321650377,1.0,0.0
-0.822444,0.55688,-0.115571,-0.0304049,0.039131,0.0555619,4565.43,-296.097,-193.875,158.505,0.3953682961292023,0.06795851596827288,-0.9572052745773498,-0.0304049,-0.06505024993727986,1.1102230246251565e-16,1.0,1.0
-0.978232,-0.114919,0.172726,-0.0305682,0.0376187,0.0566028,-10740.4,17.9572,-74.3054,56.696,-0.930123481850797,0.06796354579868534,-0.9842199862684159,-0.0305682,-0.06689108011273494,0.013480779563303291,1.0,0.0
-0.961484,-0.188616,0.199884,-0.0303777,0.0369751,0.0570296,-9232.19,20.862,-56.7625,47.3008,-0.799511815938709,0.06796714865411083,-0.9955824187104642,-0.0303777,-0.06766689824991333,0.020642297916610652,1.0,0.0
-0.947918,-0.234401,0.215617,-0.0301591,0.0363738,0.0574197,-8690.0,21.8876,-49.614,42.6416,-0.7525579175154953,0.06797113559835527,-1.0061276247311761,-0.0301591,-0.06838763720985387,0.02753294971954756,1.0,0.0
-0.934493,-0.273439,0.227899,-0.0298175,0.0355552,0.0579371,-8168.68,22.352,-43.9306,39.122,-0.7074113705006302,0.06797705350667974,-1.0203741602721705,-0.0298175,-0.06936202888965474,0.037111578600971806,1.0,0.0
-0.216991,0.9183,-0.329955,-0.0300149,0.0392044,0.0555112,11165.3,-83.8048,-41.8839,75.1396,0.9669200133988216,0.06795938717204562,-0.9558926637527925,-0.0300149,-0.06496187963089405,0.0015339646302611198,1.0,0.0
0.456629,0.813982,-0.357363,-0.0294124,0.0390155,0.0556475,8675.54,136.756,-56.4382,42.9143,0.7513056749968218,0.06796214752713454,-0.9593199860021505,-0.0294124,-0.0651974464144068,0.006817004496947443,0.0,1.0
0.596041,0.731231,-0.330396,-0.0286933,0.0386106,0.0559353,6091.24,102.425,-65.4853,39.3452,0.5275041299754989,0.0679671701518461,-0.9666287563300302,-0.0286933,-0.06569902115515054,0.014848229884313557,0.0,1.0
0.650297,0.692472,-0.311433,-0.0280725,0.0381864,0.0562325,4592.49,80.3248,-60.1037,33.8403,0.397711704328048,0.06797275337375999,-0.9742486281139503,-0.0280725,-0.06622236172351356,0.022488839964413976,0.0,1.0
0.680045,0.670119,-0.296771,-0.0275158,0.0377668,0.0565224,3812.83,65.4336,-53.4813,29.263,0.3301927968516232,0.06797876789115849,-0.9817508873718671,-0.0275158,-0.06673821569959104,0.029704993624699805,0.0,1.0
0.70272,0.652923,-0.282248,-0.0268244,0.0372071,0.0569022,3146.11,56.5881,-49.539,26.3788,0.2724545442893757,0.06798697415865777,-0.9916997087084637,-0.0268244,-0.06742266246911076,0.0390099231383072,0.0,1.0
-0.561316,-0.747056,-0.354922,0.0295621,-0.0390257,0.0556388,606.718,25.9009,-26.4191,9.64715,0.05254205231290751,0.06796088085016262,-2.182469048845938,0.0295621,-0.14832251898778656,0.994232267334774,1.0,0.0
-0.426879,-0.823062,-0.37307,0.0300714,-0.0392233,0.055497,656.929,-5.4084,-16.0034,13.6806,0.056890347548393186,0.06795869533687356,-2.186047697552496,0.0300714,-0.148560949469844,0.9990058050028957,1.0,0.0
0.297903,-0.900344,-0.316567,0.0303924,-0.0391365,0.0555576,1005.26,-9.972,0.232496,19.1569,0.08705596917855314,0.06795816764753151,-2.1844899817092003,0.0303924,-0.14845393640134688,1.0,1.0,1.0
-0.680493,-0.660646,-0.316357,0.0281933,-0.0379661,0.0563796,783.878,22.4666,-27.6784,9.23242,0.06788418817792997,0.06797120011718198,-2.1634469376422265,0.0281933,-0.14705208474138431,0.9764731984104034,1.0,0.0
-0.681043,-0.656062,-0.324415,0.0288785,-0.0384967,0.0560117,864.088,27.0661,-32.3618,8.19532,0.07483041033718404,0.06796547982454033,-2.172946136556525,0.0288785,-0.14768532680394536,0.9853418349946849,1.0,0.0
-0.680511,-0.664511,-0.308243,0.0275455,-0.0374609,0.056724,733.587,21.3861,-26.3437,9.34868,0.0635289649063797,0.06797743158438689,-2.154452458536538,0.0275455,-0.14645414460198167,0.9680944126698835,1.0,0.0
-0.680462,-0.668869,-0.298962,0.0267791,-0.0368595,0.0571262,620.86,20.4043,-25.098,9.50266,0.053766755888224445,0.06798547982245914,-2.1438105139777734,0.0267791,-0.14574798644121167,0.958191443674425,1.0,0.0
0.960766,0.190174,0.20176,0.0305467,-0.0388898,0.055731,662.03,8.79508,-4.84495,8.76851,0.05733209644796126,0.06795852341715497,-2.1800528006473625,0.0305467,-0.14815316930342806,0.9985257844549668,1.0,0.0
0.915493,0.317607,0.246974,0.0303935,-0.0384447,0.0560406,625.757,14.9496,-31.8181,-8.99782,0.05419083829582782,0.06795986908794042,-2.1720746862856477,0.0303935,-0.14761391132920187,0.9934292984054204,1.0,0.0
0.851458,0.442612,0.281204,0.0289529,-0.0365036,0.0573381,818.333,16.7996,-27.8974,-7.0605,0.07086800671049572,0.06797183626010114,-2.1377206372491067,0.0289529,-0.14530479712493535,0.967128094008581,0.0,1.0
0.851579,0.444313,0.278152,0.0283857,-0.0357288,0.0578311,743.974,16.2113,-27.0703,-6.47743,0.0644284837889152,0.0679778145916004,-2.1242106935425,0.0283857,-0.14439920067912698,0.9568005231147299,0.0,1.0
0.851516,0.440876,0.283733,0.0294161,-0.0371319,0.0569278,825.38,17.6408,-29.1468,-7.76154,0.07147828008733481,0.06796728926807366,-2.1487607932971784,0.0294161,-0.14604544640592476,0.9755706476697534,0.0,1.0
0.85168,0.439153,0.285924,0.0299074,-0.037794,0.0564854,856.572,20.6523,-33.54,-10.1283,0.07417952134891632,0.0679631286004404,-2.1604769933777637,0.0299074,-0.1468327757392258,0.9845390590753047,0.0,1.0
0.738693,0.626596,-0.24819,-0.0248778,0.0354587,0.0580118,2094.7,40.8898,-39.9461,20.9293,0.18140196430606537,0.06799035479338228,-1.0221585162679772,-0.0248778,-0.06949692017613698,0.06636022870340197,0.0,1.0
0.724967,0.636459,-0.263168,-0.0257881,0.0363029,0.0574971,2473.31,47.2525,-44.2273,23.0947,0.21418976098621975,0.06799865481625354,-1.0076175581304794,-0.0257881,-0.06851663852211076,0.053489723344666396,0.0,1.0
0.722115,0.638471,-0.266222,-0.0259726,0.0364713,0.0573894,2548.16,48.5353,-45.0832,23.5312,0.22067180472914666,0.06799778640551471,-1.0046778814585988,-0.0259726,-0.06831587198976682,0.05086481783593866,0.0,1.0
0.76332,0.611448,-0.207917,-0.021958,0.0325202,0.0596887,1470.21,32.6777,-34.7092,18.1857,0.1273208487814104,0.06797282041912046,-1.071930996990596,-0.021958,-0.07286217316013054,0.10937276449542155,0.0,1.0
0.752633,0.617453,-0.228235,-0.0234791,0.0340886,0.0588153,1753.12,35.6819,-36.4552,19.2679,0.15182098231930552,0.06797993942370058,-1.045521415063424,-0.0234791,-0.07107448246219328,0.08669460713209831,0.0,1.0
0.770997,0.608094,-0.18848,-0.0204538,0.0309022,0.0605376,1255.9,30.4008,-33.3328,17.1673,0.1087615061688965,0.06796872058969479,-1.0988134609581972,-0.0204538,-0.07468494510806321,0.1322291366996663,0.0,1.0
0.776669,0.606333,-0.169948,-0.0189857,0.0292676,0.0613421,1099.48,28.7652,-32.3903,16.3062,0.09521546365361759,0.06796650382482536,-1.1256189221804738,-0.0189857,-0.07650438277967497,0.15485336841324504,0.0,1.0
