"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","Pressure","SkinFriction:0","SkinFriction:1","SkinFriction:2"
-8.70513e-01,4.52764e-01,1.92407e-01,-2.05720e-02,5.21076e-02,1.06977e-01,1.29958e+04,-1.72703e+02,-5.22789e+02,3.53107e+02
-9.37859e-01,2.65370e-01,2.23379e-01,-2.06620e-02,5.18843e-02,1.07085e-01,-2.05722e+04,-2.11607e+02,-7.54712e+02,3.19665e+02
-9.68372e-01,1.80035e-02,2.48792e-01,-2.06334e-02,5.13710e-02,1.07331e-01,-2.47388e+04,9.98448e+00,-2.29861e+02,1.08041e+02
-9.62498e-01,-9.93798e-02,2.52384e-01,-2.03111e-02,4.96268e-02,1.08142e-01,-1.22709e+04,2.66401e+01,-7.56390e+01,7.12709e+01
-9.59680e-01,-1.26340e-01,2.51052e-01,-2.00804e-02,4.86587e-02,1.08579e-01,-1.14335e+04,2.98259e+01,-9.29267e+01,6.74579e+01
-9.57242e-01,-1.47611e-01,2.48738e-01,-1.97844e-02,4.75151e-02,1.09083e-01,-1.04559e+04,3.26881e+01,-1.00139e+02,6.64637e+01
-9.65927e-01,-5.76177e-02,2.52269e-01,-2.05093e-02,5.05767e-02,1.07704e-01,-1.54639e+04,2.02304e+01,-1.90401e+01,6.94739e+01
8.87721e-01,3.85291e-01,-2.51745e-01,-2.00198e-02,5.13388e-02,1.07342e-01,1.46232e+04,1.76063e+02,-3.30570e+02,1.06518e+02
8.15462e-01,5.22967e-01,-2.47645e-01,-2.03443e-02,5.18790e-02,1.07086e-01,2.65200e+04,1.54382e+02,-2.10910e+02,1.72169e+02
9.17789e-01,3.19961e-01,-2.34895e-01,-1.85058e-02,4.82653e-02,1.08753e-01,6.45772e+03,6.41954e+01,-1.45912e+02,5.22180e+01
9.14792e-01,3.25042e-01,-2.39539e-01,-1.88960e-02,4.91004e-02,1.08378e-01,7.44009e+03,7.17657e+01,-1.60146e+02,5.68301e+01
9.10736e-01,3.33096e-01,-2.43877e-01,-1.92542e-02,4.98478e-02,1.08037e-01,8.69427e+03,8.50803e+01,-1.85085e+02,6.47053e+01
9.03373e-01,3.49572e-01,-2.48163e-01,-1.96344e-02,5.06131e-02,1.07683e-01,1.07460e+04,1.11389e+02,-2.30641e+02,7.91004e+01
-4.04500e-01,-8.98186e-01,-1.70670e-01,2.02892e-02,-5.20237e-02,1.07019e-01,-6.96274e+02,1.00555e+02,-9.03513e+01,6.04746e+00
-4.02251e-01,-8.99164e-01,-1.71321e-01,2.05398e-02,-5.21301e-02,1.06969e-01,-2.67378e+03,4.81341e+01,-8.82697e+01,-4.43582e+00
