Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Pressure,SkinFriction:0,SkinFriction:1,SkinFriction:2,Cp,r,theta,xPrime,yPrime,x/c,isUpper,isLower
-0.820977,0.569433,-0.0385571,-0.0279939,0.0449292,0.0721274,4735.12,-482.002,-279.663,254.435,0.41006352662669415,0.08497643698932074,-1.013698135731266,-0.0279939,-0.08614045575715983,-2.220446049250313e-16,1.0,1.0
-0.933207,0.355795,0.0483223,-0.0281757,0.0446811,0.0722814,-17416.9,-227.527,-493.411,256.39,-1.5083113916657804,0.08497647605761256,-1.0171344963306046,-0.0281757,-0.08643250517480944,0.0014438878680300693,1.0,0.0
-0.986061,0.0187929,0.165128,-0.0281943,0.0441746,0.0725903,-21839.2,-6.97726,-195.52,108.194,-1.8912845652709327,0.08497497831273627,-1.0241160513281058,-0.0281943,-0.0870242392513309,0.005988097483934585,1.0,0.0
-0.970284,-0.12275,0.20849,-0.0280437,0.0434412,0.0730285,-15857.5,8.09044,-3.83398,35.9573,-1.373266648676866,0.08497234649984664,-1.0341702061012934,-0.0280437,-0.08787586909265692,0.013349051075566498,1.0,0.0
-0.956304,-0.185658,0.225841,-0.0278099,0.04268,0.0734732,-12444.7,11.8853,-12.9024,38.3428,-1.0777166301616898,0.08496995656254039,-1.044545266708501,-0.0278099,-0.08875496593982848,0.02130998919084448,1.0,0.0
-0.94621,-0.222845,0.234552,-0.0275466,0.0419464,0.0738928,-11225.5,16.6684,-27.1728,41.207,-0.9721333605374215,0.08496850219228298,-1.054491518750188,-0.0275466,-0.08959856492266915,0.029129686583572623,1.0,0.0
-0.937472,-0.252209,0.239828,-0.0271725,0.0410013,0.0744203,-10090.9,19.9916,-33.5605,42.589,-0.8738764890514512,0.08496756824683167,-1.0672298586362976,-0.0271725,-0.09067992584873613,0.0393226517965537,1.0,0.0
0.632117,0.710045,-0.308951,-0.0271298,0.0446439,0.0722992,12267.0,200.539,-140.351,74.902,1.0623277300532314,0.0849720667504916,-1.0176170294809457,-0.0271298,-0.08646902215549189,0.0065701430675233485,0.0,1.0
0.542869,0.775942,-0.319695,-0.0276516,0.0449356,0.0721216,16975.2,-138.784,-49.89,130.827,1.470059972544193,0.08497489825777962,-1.01359811934646,-0.0276516,-0.08613039706574221,0.0015054838474147791,1.0,0.0
0.812739,0.526825,-0.248011,-0.024849,0.0422539,0.073716,4607.84,59.8373,-75.8139,35.5218,0.39904102124794016,0.08496729206706544,-1.050316982385284,-0.024849,-0.08924258980532926,0.03882891304892555,0.0,1.0
