"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","Pressure","SkinFriction:0","SkinFriction:1","SkinFriction:2"
-9.46678e-01,7.26251e-02,3.13818e-01,-9.86852e-03,4.34276e-02,1.46698e-01,-8.57823e+03,-4.20544e+02,-9.66640e+02,1.85418e+02
-9.58486e-01,2.19559e-02,2.84268e-01,-9.85298e-03,4.26042e-02,1.46942e-01,-1.89274e+04,-1.37297e+01,-4.51477e+02,4.02057e+01
-6.20917e-01,5.63344e-01,5.44335e-01,-9.72755e-03,4.36415e-02,1.46635e-01,1.62302e+04,-2.24605e+02,-9.13221e+02,3.99903e+02
-9.72404e-01,-7.55091e-02,2.20747e-01,-9.52486e-03,3.98223e-02,1.47720e-01,-8.59750e+03,3.12204e+01,-2.03588e+02,6.78212e+01
-9.73462e-01,-8.97858e-02,2.10501e-01,-9.37931e-03,3.88202e-02,1.47986e-01,-8.56161e+03,2.98308e+01,-1.92723e+02,5.58773e+01
-9.74072e-01,-9.96384e-02,2.03114e-01,-9.22622e-03,3.78185e-02,1.48246e-01,-8.18150e+03,3.14098e+01,-1.90116e+02,5.73621e+01
-9.69595e-01,-4.75979e-02,2.40041e-01,-9.70603e-03,4.11933e-02,1.47349e-01,-1.10306e+04,3.36181e+01,-2.12900e+02,9.31823e+01
-9.67399e-01,-3.42017e-02,2.48744e-01,-9.73583e-03,4.14807e-02,1.47269e-01,-1.25424e+04,2.44766e+01,-2.58277e+02,8.28286e+01
8.99639e-01,4.34811e-01,3.70678e-02,-9.50394e-03,4.32891e-02,1.46741e-01,1.76263e+04,2.45743e+02,-5.43741e+02,2.28886e+02
9.57443e-01,2.78054e-01,-7.73076e-02,-9.17076e-03,4.23059e-02,1.47033e-01,8.19706e+03,1.24785e+02,-4.06986e+02,5.32732e+01
9.64428e-01,2.46053e-01,-9.65086e-02,-8.77972e-03,4.09496e-02,1.47412e-01,5.81195e+03,7.74590e+01,-2.82542e+02,5.05443e+01
9.58534e-01,2.73165e-01,-8.00723e-02,-9.11447e-03,4.21174e-02,1.47088e-01,7.83693e+03,1.17625e+02,-3.88446e+02,5.29159e+01
9.66924e-01,2.33197e-01,-1.03220e-01,-8.47679e-03,3.98362e-02,1.47715e-01,4.94859e+03,6.15376e+01,-2.35343e+02,4.41918e+01
9.68060e-01,2.27315e-01,-1.05676e-01,-8.25461e-03,3.89999e-02,1.47939e-01,4.33949e+03,5.52305e+01,-2.16327e+02,4.03793e+01
9.68859e-01,2.23388e-01,-1.06743e-01,-8.03154e-03,3.81461e-02,1.48163e-01,3.89315e+03,5.19812e+01,-2.06541e+02,3.94154e+01
-9.60594e-01,-2.64217e-01,-8.59224e-02,9.23142e-03,-4.23476e-02,1.47015e-01,-1.18510e+03,4.26501e+01,-1.40246e+02,-4.58646e+01
-9.19793e-01,-3.92047e-01,6.28138e-03,9.50944e-03,-4.32595e-02,1.46745e-01,-8.10337e+02,8.24621e+01,-1.71748e+02,-2.06169e+01
-8.53437e-01,-5.11136e-01,9.90119e-02,9.70921e-03,-4.36209e-02,1.46638e-01,-3.99659e+03,5.53741e+00,-1.95880e+02,-1.01212e+01
-9.60918e-01,-2.67890e-01,-6.94282e-02,7.95523e-03,-3.80612e-02,1.48184e-01,-1.53348e+03,3.87324e+01,-1.29831e+02,-3.53198e+01
-9.60933e-01,-2.66854e-01,-7.30600e-02,8.21746e-03,-3.89418e-02,1.47954e-01,-1.39666e+03,3.89570e+01,-1.30416e+02,-3.62567e+01
-9.61022e-01,-2.65446e-01,-7.69540e-02,8.48345e-03,-3.98395e-02,1.47716e-01,-1.28524e+03,3.92807e+01,-1.31509e+02,-3.70876e+01
