"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","Pressure","SkinFriction:0","SkinFriction:1","SkinFriction:2"
-9.58224e-01,2.40673e-01,1.54454e-01,-2.48808e-02,4.91968e-02,8.93494e-02,-2.32864e+04,-1.70403e+02,-5.86999e+02,2.74741e+02
-9.69793e-01,8.66155e-02,1.91159e-01,-2.48600e-02,4.88849e-02,8.95220e-02,-2.42440e+04,-6.21484e+01,-2.90658e+02,1.52688e+02
-9.00546e-01,4.22626e-01,1.01667e-01,-2.47825e-02,4.94449e-02,8.92121e-02,6.84395e+03,-3.55229e+02,-3.10282e+02,3.05745e+02
5.49249e-01,7.80886e-01,-2.76898e-01,-2.46090e-02,4.93712e-02,8.92552e-02,1.74543e+04,-1.47666e+02,-1.49033e+02,2.16742e+02
-9.76873e-01,-8.23810e-03,2.13658e-01,-2.48469e-02,4.86908e-02,8.96270e-02,-2.48287e+04,4.51146e+00,-1.07421e+02,7.72716e+01
-9.60941e-01,-1.42877e-01,2.36980e-01,-2.44878e-02,4.71060e-02,9.04585e-02,-1.31366e+04,1.59839e+01,-1.28670e+01,5.53790e+01
-9.55108e-01,-1.74196e-01,2.39565e-01,-2.42319e-02,4.62376e-02,9.09006e-02,-1.18745e+04,2.21551e+01,-4.18898e+01,5.78234e+01
-9.50048e-01,-1.99449e-01,2.39956e-01,-2.38910e-02,4.51790e-02,9.14270e-02,-1.07503e+04,2.56770e+01,-5.23030e+01,5.82156e+01
-9.68453e-01,-9.53030e-02,2.30236e-01,-2.47060e-02,4.79557e-02,9.00169e-02,-1.66440e+04,4.23555e+00,5.85299e+01,3.54206e+01
6.19095e-01,7.33724e-01,-2.79737e-01,-2.45078e-02,4.93262e-02,8.92788e-02,2.36426e+04,-2.70042e+01,-5.51428e+01,1.64808e+02
8.05168e-01,5.29524e-01,-2.66669e-01,-2.41042e-02,4.88829e-02,8.95162e-02,1.46212e+04,2.28156e+02,-2.84377e+02,1.07588e+02
8.44876e-01,4.70415e-01,-2.54341e-01,-2.36162e-02,4.82313e-02,8.98619e-02,1.03745e+04,1.33910e+02,-1.98868e+02,7.43192e+01
8.62255e-01,4.42925e-01,-2.45200e-01,-2.31410e-02,4.75321e-02,9.02281e-02,8.05365e+03,9.58292e+01,-1.54199e+02,5.79054e+01
8.71717e-01,4.28171e-01,-2.37842e-01,-2.26995e-02,4.68452e-02,9.05828e-02,6.88847e+03,7.64148e+01,-1.28477e+02,4.89802e+01
8.78352e-01,4.18323e-01,-2.30863e-01,-2.22108e-02,4.60548e-02,9.09846e-02,5.95925e+03,6.65646e+01,-1.15634e+02,4.40885e+01
-8.25396e-01,-4.93490e-01,-2.74064e-01,2.41747e-02,-4.89588e-02,8.94760e-02,5.48277e+02,4.46974e+01,-7.32458e+01,-1.58284e+00
-8.04657e-01,-5.23946e-01,-2.79292e-01,2.45419e-02,-4.94024e-02,8.92377e-02,3.66646e+01,6.96177e+01,-4.84836e+01,1.07358e+01
-1.15500e-01,-9.66006e-01,-2.31285e-01,2.45608e-02,-4.94046e-02,8.92367e-02,-4.05155e+00,6.68196e+01,-4.75271e+01,1.01893e+01
-8.43172e-01,-4.73465e-01,-2.54342e-01,2.26411e-02,-4.68217e-02,9.05953e-02,5.64049e+02,2.88721e+01,-5.26668e+01,2.12289e+00
-8.43204e-01,-4.70205e-01,-2.60288e-01,2.31500e-02,-4.75324e-02,9.02286e-02,6.51742e+02,3.02647e+01,-5.52416e+01,1.56259e+00
-8.43142e-01,-4.76977e-01,-2.47735e-01,2.20666e-02,-4.60172e-02,9.10038e-02,4.06801e+02,2.80977e+01,-5.10569e+01,2.46133e+00
-8.43703e-01,-4.66187e-01,-2.65940e-01,2.36755e-02,-4.82632e-02,8.98457e-02,6.96944e+02,3.35131e+01,-6.11208e+01,6.10355e-01
9.24764e-01,2.77618e-01,2.59522e-01,2.47968e-02,-4.89153e-02,8.95055e-02,3.25388e+02,2.46775e+01,-8.76365e+01,-2.68574e+01
9.20056e-01,2.91879e-01,2.61346e-01,2.47201e-02,-4.87353e-02,8.96025e-02,6.13298e+02,3.61781e+01,-9.19444e+01,-2.73689e+01
9.07261e-01,3.31894e-01,2.58222e-01,2.35017e-02,-4.63648e-02,9.08346e-02,9.66983e+02,2.83954e+01,-6.37242e+01,-1.80511e+01
9.07173e-01,3.34761e-01,2.54790e-01,2.30034e-02,-4.53851e-02,9.13241e-02,8.63658e+02,2.81548e+01,-6.30583e+01,-1.75783e+01
9.07346e-01,3.29372e-01,2.61158e-01,2.39220e-02,-4.71874e-02,9.04147e-02,9.66108e+02,2.99295e+01,-6.73478e+01,-1.92312e+01
9.06754e-01,3.28668e-01,2.64111e-01,2.43415e-02,-4.80057e-02,8.99891e-02,8.36641e+02,3.22953e+01,-7.25349e+01,-2.07498e+01
-1.14215e-01,-9.66055e-01,-2.31549e-01,2.48161e-02,-4.94312e-02,8.92194e-02,-5.48117e+02,2.90660e+01,-3.45452e+01,2.85942e+00
8.72214e-01,-4.81912e-01,8.35714e-02,2.49241e-02,-4.92124e-02,8.93404e-02,-1.50132e+02,5.58483e+00,-8.03573e+01,-2.59295e+01
8.83843e-01,4.10830e-01,-2.23259e-01,-2.16349e-02,4.50918e-02,9.14647e-02,5.15030e+03,5.90802e+01,-1.05419e+02,4.02857e+01
8.88616e-01,4.05304e-01,-2.14271e-01,-2.09061e-02,4.38334e-02,9.20753e-02,4.48584e+03,5.18171e+01,-9.43710e+01,3.67757e+01
8.96025e-01,4.00516e-01,-1.91341e-01,-1.88341e-02,4.00819e-02,9.37775e-02,3.40907e+03,4.34652e+01,-8.17555e+01,3.28086e+01
8.92749e-01,4.01799e-01,-2.03489e-01,-1.99474e-02,4.21250e-02,9.28726e-02,3.91529e+03,4.64580e+01,-8.60756e+01,3.42788e+01
8.99917e-01,4.03176e-01,-1.65945e-01,-1.65609e-02,3.57617e-02,9.55166e-02,2.70628e+03,4.07156e+01,-7.85795e+01,3.02624e+01
8.98347e-01,4.01203e-01,-1.78680e-01,-1.76918e-02,3.79322e-02,9.46722e-02,3.00628e+03,4.15531e+01,-7.92384e+01,3.13722e+01
9.01809e-01,4.08811e-01,-1.39886e-01,-1.43028e-02,3.13289e-02,9.70632e-02,2.25986e+03,4.04811e+01,-7.96897e+01,2.84703e+01
9.01030e-01,4.05786e-01,-1.53087e-01,-1.54377e-02,3.35718e-02,9.63100e-02,2.46624e+03,4.05787e+01,-7.91333e+01,2.94553e+01
9.02349e-01,4.12114e-01,-1.26012e-01,-1.31271e-02,2.89795e-02,9.77899e-02,2.07701e+03,4.02883e+01,-8.00118e+01,2.72367e+01
