"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","Pressure","SkinFriction:0","SkinFriction:1","SkinFriction:2"
-9.40545e-01,3.23412e-01,-1.02761e-01,-3.22347e-02,3.17625e-02,3.98367e-02,-2.00318e+03,-7.95091e+01,-1.81807e+02,1.16763e+02
-9.98210e-01,2.09167e-02,5.50339e-02,-3.23051e-02,3.12261e-02,4.02562e-02,-5.47796e+03,-4.08041e+00,-1.42026e+02,9.10238e+01
-8.42429e-01,5.00476e-01,-1.98833e-01,-3.19817e-02,3.20861e-02,3.95774e-02,4.00510e+03,-1.42566e+02,-1.13979e+02,8.73988e+01
-9.80300e-01,-1.41617e-01,1.37490e-01,-3.21907e-02,3.05817e-02,4.07453e-02,-5.81444e+03,1.98675e+01,-8.48682e+01,6.05338e+01
-9.58860e-01,-2.21925e-01,1.76930e-01,-3.20073e-02,3.00215e-02,4.11580e-02,-5.55416e+03,2.38136e+01,-6.50995e+01,4.86857e+01
-9.41511e-01,-2.71356e-01,1.99735e-01,-3.17976e-02,2.95082e-02,4.15264e-02,-5.50906e+03,2.42778e+01,-5.39150e+01,4.17802e+01
-9.24279e-01,-3.13618e-01,2.17520e-01,-3.14673e-02,2.88081e-02,4.20140e-02,-5.42375e+03,2.42525e+01,-4.62279e+01,3.67412e+01
1.64894e-01,8.83090e-01,-4.37303e-01,-3.08737e-02,3.22300e-02,3.94568e-02,5.36548e+03,9.48621e+01,-1.00763e+01,1.81103e+01
-1.98183e-01,8.82618e-01,-4.24768e-01,-3.15485e-02,3.22470e-02,3.94457e-02,6.71305e+03,-2.98311e+01,-2.38411e+01,3.42203e+01
5.40450e-01,7.63043e-01,-3.52902e-01,-2.81188e-02,3.11805e-02,4.02814e-02,1.23146e+03,5.50020e+01,-3.02084e+01,1.89859e+01
4.96829e-01,7.82851e-01,-3.72891e-01,-2.88797e-02,3.15569e-02,3.99892e-02,1.77454e+03,6.47585e+01,-3.12891e+01,2.06318e+01
4.43650e-01,8.05296e-01,-3.91507e-01,-2.94513e-02,3.18051e-02,3.97941e-02,2.40921e+03,7.86698e+01,-3.21971e+01,2.26817e+01
3.53590e-01,8.37960e-01,-4.13749e-01,-3.01000e-02,3.20412e-02,3.96068e-02,3.59428e+03,9.27515e+01,-2.76013e+01,2.34379e+01
4.31123e-01,-8.18558e-01,-3.78691e-01,3.16603e-02,-3.21975e-02,3.94876e-02,5.43788e+02,-2.53894e+00,-1.31227e+01,2.02326e+01
4.31333e-01,-8.18409e-01,-3.78786e-01,3.20179e-02,-3.20616e-02,3.95991e-02,6.32844e+02,-2.13698e+00,-6.58397e+00,2.54018e+01
-3.66087e-01,-8.31368e-01,-4.17248e-01,3.10723e-02,-3.21016e-02,3.95622e-02,4.83761e+02,9.81080e+00,-1.34038e+01,1.56750e+01
