"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","Pressure","SkinFriction:0","SkinFriction:1","SkinFriction:2"
-8.20977e-01,5.69433e-01,-3.85571e-02,-2.79939e-02,4.49292e-02,7.21274e-02,4.73512e+03,-4.82002e+02,-2.79663e+02,2.54435e+02
-9.33207e-01,3.55795e-01,4.83223e-02,-2.81757e-02,4.46811e-02,7.22814e-02,-1.74169e+04,-2.27527e+02,-4.93411e+02,2.56390e+02
-9.86061e-01,1.87929e-02,1.65128e-01,-2.81943e-02,4.41746e-02,7.25903e-02,-2.18392e+04,-6.97726e+00,-1.95520e+02,1.08194e+02
-9.70284e-01,-1.22750e-01,2.08490e-01,-2.80437e-02,4.34412e-02,7.30285e-02,-1.58575e+04,8.09044e+00,-3.83398e+00,3.59573e+01
-9.56304e-01,-1.85658e-01,2.25841e-01,-2.78099e-02,4.26800e-02,7.34732e-02,-1.24447e+04,1.18853e+01,-1.29024e+01,3.83428e+01
-9.46210e-01,-2.22845e-01,2.34552e-01,-2.75466e-02,4.19464e-02,7.38928e-02,-1.12255e+04,1.66684e+01,-2.71728e+01,4.12070e+01
-9.37472e-01,-2.52209e-01,2.39828e-01,-2.71725e-02,4.10013e-02,7.44203e-02,-1.00909e+04,1.99916e+01,-3.35605e+01,4.25890e+01
6.32117e-01,7.10045e-01,-3.08951e-01,-2.71298e-02,4.46439e-02,7.22992e-02,1.22670e+04,2.00539e+02,-1.40351e+02,7.49020e+01
5.42869e-01,7.75942e-01,-3.19695e-01,-2.76516e-02,4.49356e-02,7.21216e-02,1.69752e+04,-1.38784e+02,-4.98900e+01,1.30827e+02
8.12739e-01,5.26825e-01,-2.48011e-01,-2.48490e-02,4.22539e-02,7.37160e-02,4.60784e+03,5.98373e+01,-7.58139e+01,3.55218e+01
7.98938e-01,5.42314e-01,-2.59136e-01,-2.54345e-02,4.29497e-02,7.33122e-02,5.40109e+03,6.94237e+01,-8.36574e+01,3.94431e+01
7.79210e-01,5.64883e-01,-2.70669e-01,-2.59293e-02,4.35046e-02,7.29848e-02,6.33914e+03,8.80793e+01,-9.91775e+01,4.64824e+01
7.40337e-01,6.07920e-01,-2.85992e-01,-2.64944e-02,4.40883e-02,7.26357e-02,8.36280e+03,1.23462e+02,-1.22290e+02,5.78860e+01
-7.17888e-01,-6.28813e-01,-2.97807e-01,2.72674e-02,-4.46284e-02,7.23088e-02,6.23408e+02,3.89327e+01,-4.71205e+01,4.58746e+00
-6.52274e-01,-6.91031e-01,-3.09969e-01,2.77043e-02,-4.49552e-02,7.21090e-02,5.78696e+02,1.94527e+01,-2.36050e+01,1.00813e+01
1.08934e-01,-9.55271e-01,-2.73659e-01,2.80029e-02,-4.49272e-02,7.21277e-02,8.58378e+02,-1.53617e+00,-2.79015e+00,1.02698e+01
-7.72106e-01,-5.75110e-01,-2.69879e-01,2.54832e-02,-4.27513e-02,7.34282e-02,7.56741e+02,2.60010e+01,-3.80653e+01,6.51833e+00
-7.72064e-01,-5.72320e-01,-2.75868e-01,2.60662e-02,-4.33651e-02,7.30679e-02,8.28877e+02,2.73127e+01,-3.99018e+01,6.11884e+00
-7.72023e-01,-5.78318e-01,-2.63190e-01,2.48137e-02,-4.20439e-02,7.38363e-02,6.12874e+02,2.51084e+01,-3.67134e+01,6.81607e+00
-7.74049e-01,-5.67029e-01,-2.81221e-01,2.66775e-02,-4.40050e-02,7.26864e-02,8.91075e+02,3.19562e+01,-4.62019e+01,4.89031e+00
9.45943e-01,2.31566e-01,2.27001e-01,2.81395e-02,-4.47007e-02,7.22682e-02,5.86052e+02,9.24425e+00,-2.84662e+01,-6.86832e+00
9.16319e-01,3.14828e-01,2.47464e-01,2.79597e-02,-4.42462e-02,7.25456e-02,6.80679e+02,2.47788e+01,-5.68508e+01,-1.85618e+01
8.82756e-01,3.93605e-01,2.56389e-01,2.66150e-02,-4.20725e-02,7.38206e-02,9.94723e+02,2.24903e+01,-4.27981e+01,-1.19109e+01
8.82718e-01,3.96085e-01,2.52672e-01,2.60798e-02,-4.11930e-02,7.43144e-02,8.82146e+02,2.20033e+01,-4.19375e+01,-1.13027e+01
8.82898e-01,3.91213e-01,2.59546e-01,2.70626e-02,-4.28036e-02,7.34005e-02,1.00426e+03,2.36100e+01,-4.47993e+01,-1.29739e+01
8.81266e-01,3.92369e-01,2.63324e-01,2.75213e-02,-4.35499e-02,7.29626e-02,1.00931e+03,2.73306e+01,-5.11273e+01,-1.53695e+01
8.32916e-01,5.06852e-01,-2.21518e-01,-2.32394e-02,4.01944e-02,7.48663e-02,3.39898e+03,4.44573e+01,-6.05632e+01,2.89553e+01
8.23735e-01,5.15279e-01,-2.35795e-01,-2.41424e-02,4.13724e-02,7.42168e-02,3.92237e+03,5.18955e+01,-6.84725e+01,3.20840e+01
8.45876e-01,4.99274e-01,-1.87389e-01,-2.07580e-02,3.67474e-02,7.66343e-02,2.61253e+03,3.64262e+01,-5.23079e+01,2.53712e+01
8.40397e-01,5.01520e-01,-2.04981e-01,-2.20692e-02,3.86013e-02,7.57081e-02,2.97991e+03,3.92400e+01,-5.49657e+01,2.67602e+01
